query,positive,negative
"
In the case where, with respect to A's claim against B, B made the performance vis-a-vis C, who had no authority to receive the performance, and A was enriched as a result thereof, even if B knew that C had no authority to receive the performance, the performance shall have the effect to the extent A is enriched.
","Except as provided in the preceding Article, any performance made to a person other than the person with right to performance is effective only to the extent that the obligee is enriched as a result thereof.","In the cases provided for in the preceding Article, if the possessed thing constitutes stolen or lost property, the victim or the person that lost the thing may demand the return of that thing from the possessor within two years from the time of the loss or theft."
"
In the case where, with respect to A's claim against B, B made the performance vis-a-vis C, who had no authority to receive the performance, and A was enriched as a result thereof, even if B knew that C had no authority to receive the performance, the performance shall have the effect to the extent A is enriched.
",Performance made to a person that does not constitute a person authorized to accept the performance (meaning the obligee or a third party authorized to accept performance based on the provisions of laws and regulations or the manifestation of intention of the parties; the same applies hereinafter) but that appears to be the person authorized to accept the performance in light of common sense in the transaction is effective only if the person effecting performance was acting in good faith and without negligence.,"(1) A mandate may be cancelled by either party at any time.
(2) In the following cases, a party that has cancelled a mandate pursuant to the provisions of the preceding paragraph must compensate for damage suffered by the other party; provided, however, that this does not apply if there was a compelling reason for the cancellation:"
"
If A, who assumes an obligation to deliver a movable, delivered, to the obligee B, a movable owned by others as the performance of the obligation and B consumed the movable not knowing that the movable was owned by others, such performance shall be effective.
","Performance made by making payment into the obligee's account for deposits becomes effective when the obligee acquires a right to demand the refund of the amount paid, against the obligor of the claim to be paid from deposits.","If a third party acquirer of a mortgaged immovables makes a claim for the extinguishment of a mortgage, that third party must send the documents set forth below to each registered obligee:"
"
If A, who assumes an obligation to deliver a movable, delivered, to the obligee B, a movable owned by others as the performance of the obligation and B consumed the movable not knowing that the movable was owned by others, such performance shall be effective.
","If a person effecting performance has delivered a thing owned by another person in performance of the obligation, the person so effecting performance may not recover that thing without effecting valid performance de novo.","If a manager engages in benevolent intervention in another's business in order to allow a principal to escape imminent danger to the principal's person, reputation, or property, the manager is not liable to compensate for damage resulting from this unless the manager has acted in bad faith or with gross negligence."
"
If the offeree has accepted the offer by adding any condition or has accepted it by making any other modification, it shall be deemed that the offeree has refused the offer and has made a new offer.
","If the offeree has accepted the offer by adding a condition or making other modifications, it is deemed that the offeree has refused the offer and made a new offer.",The provisions of the preceding two Articles apply mutatis mutandis if the things of different owners are mixed together and can no longer be distinguished.
"
In cases where no notice of acceptance is required due to the offeror's manifestation of intention or usage of trade, the contract shall be formed upon the occurrence of any fact which ought to be regarded as a manifestation of intention of acceptance.
","If an offeror dies, comes to be in a constant state wherein the offeror lacks mental capacity, or becomes subject to restrictions on legal capacity to act after issuing notice of the offer, and the offeror has manifested the intention not to make the offer effective should any of these facts occur, or the other party comes to know that any of these facts has occurred before issuing a notice of acceptance, that offer is not effective.","Even if a holder of superficies or a farming right holder that created mortgage on that holder's superficies or farming right renounces the relevant rights, the renunciation may not be duly asserted against the mortgagee."
"
In cases where the notice of acceptance of an offer that specify period for acceptance was dispatched within the period, the contract shall be formed and become effective even if the notice of acceptance did not arrive at the offeror.
","(1) Unless otherwise provided for in laws and regulations, any person may freely decide whether or not to conclude a contract.
(2) Parties to a contract may freely decide the terms of the contract, subject to the restrictions prescribed by laws and regulations.","(1) If there is a person that has legitimate interest in performing an obligation (hereinafter referred to as a ""person entitled to subrogation"" in this paragraph), and the obligee causes the security thereof to be lost or diminished intentionally or negligently, the person entitled to subrogation is relieved from responsibility to the extent that that person can no longer seek the reimbursement due to the loss or diminution in the security available upon subrogation. If the person entitled to subrogation is a third-party collateral provider, the same applies to a third party that has acquired from the person entitled to subrogation the property that is the subject of security and to the specific successor thereof.
(2) The provisions of the preceding paragraph do not apply if the obligee is found to have reasonable grounds in light of the common sense in the transaction for causing the security to be lost or diminished.
Subsection 2 Set-Offs"
 The offeror may deem a delayed acceptance to be a new offer. ,"(1) An offer which specifies a period for acceptance may not be revoked; provided, however, that this does not apply if the offeror reserves the right to revoke.
(2) If an offeror does not receive notice of acceptance of the offer referred to in the preceding paragraph within the period referred to in that paragraph, the offer ceases to be effective.","The particulars of the management of property in co-ownership are determined by a majority according to the value of the interests of the co-owners, except for cases provided for in the preceding Article; provided, however, that any of the co-owners may perform acts of preservation alone."
"
In cases where, after the notice of acceptance of the offer that had not specified period for acceptance had been dispatched, the notice to revoke the offer arrived at the offeree, if the offeree was in a position to know that the notice had been dispatched at a time which, under normal circumstances would have allowed the notice to arrive before the dispatch of the acceptance notice, it shall be deemed that no contract was formed regardless of whether or not the offeree dispatches to the offeror a notice to the effect that the notice to revoke the offer arrived late.
","(1) An offer made without specifying a period for acceptance may not be revoked until the passage of a reasonable period of time for the offeror to receive a notice of acceptance; provided, however, that this does not apply if the offeror reserves the right to revoke.
(2) Notwithstanding the provisions of the preceding paragraph, an offer referred to in that paragraph which has been made to a person with whom the offeror is having a dialogue may be revoked at any time while the dialogue continues.
(3) If an offeror does not receive from a person with whom the offeror is having a dialogue a notice of acceptance of the offer referred to in paragraph (1) while the dialogue continues, the offer ceases to be effective; provided, however, that this does not apply if the offeror manifests the intention to maintain the effect of the offer after the end of the dialogue.","(1) If the property that is the subject matter of performance or the proceeds referred to in the preceding Article are deposited, the obligee may demand the return of the deposited thing.
(2) If the obligor is to effect performance in exchange for payment or delivery by the obligee, the obligee may not receive deposited thing without making that payment or delivery.
Division 3 Subrogation by Performance"
"
Periodic gifts shall lose its effect on the death of the donee, but they shall not lose its effect even if the donor dies.
",A gift that is to be delivered periodically ceases to be effective on the death of the donor or the donee.,A person that exercises a mortgage by way of subrogation pursuant to the provisions of the second sentence of paragraph (2) of the preceding Article may note that subrogation in the registration of that mortgage.
"
With respect to gifts, even if they are with burden, the provisions regarding bilateral contracts shall not apply mutatis mutandis.
","With respect to gifts with burden, beyond what is provided for in this Section, the provisions regarding bilateral contracts apply mutatis mutandis, to the extent those provisions are not inconsistent with the nature of gifts with burden.","(1) If the holder of a right of retention incurs necessary expenses with respect to the thing retained, that holder may have the owner reimburse the same.
(2) If the holder of a right of retention incurs beneficial expenses with respect to the thing retained, to the extent that there is currently an increase in value as a result of the same, that holder may have the expenses incurred or the increase in value reimbursed at the owner's choice; provided, however, that the court may, at the request of the owner, grant a reasonable period of time for the reimbursement of the same."
"
In cases where the buyer alleges a defense for simultaneous performance, the seller may allege that there was an agreement that the payment of purchase money would be made prior to the delivery of the subject matter and the procedure for registration of transfer of the ownership, as re-defense.
","A party to a bilateral contract may refuse to perform that party's own obligation until the other party tenders the performance of that other party's obligation (including the performance of an obligation to compensate for loss or damage in lieu of the performance of an obligation); provided, however, that this does not apply if the obligation of the other party is not yet due.
Articles 534 and 535  Deleted","(1) An employer may not assign the rights of the employer to a third party without obtaining the employee's consent.
(2) An employee may not cause a third party to work on behalf of the employee without obtaining the employer's consent.
(3) If an employee causes a third party to work in violation of the provisions of the preceding paragraph, the employer may cancel the contract."
"
If any mortgage is registered on immovable property that is the subject matter of a sales contract, the buyer may refuse to pay the purchase money until the completion of the procedures of the claim for extinguishment of the mortgage.
","(1) If a mortgage that does not conform to the terms of the contract is registered on immovables that have been purchased, the buyer may refuse to pay the price until the completion of the procedures of the claim for extinguishment of the mortgage. In such cases, the seller may demand that the buyer file the claim for extinguishment of the mortgage without delay.
(2) The provisions of the preceding paragraph apply mutatis mutandis if a statutory lien or pledge that does not conform to the terms of the contract is registered on the immovables that have been bought.",Each co-owner may use the entire property in co-ownership in proportion to each co-owner's interest.
"
A contract to the effect that B would sell C a land ""X"" owned by A (hereinafter referred to as the ""Contract for Sale"") was concluded.
In the case where, at the time when the Contract for Sale was concluded, B did not know that the ownership of the land ""X"" did not belong to B and C knew that the ownership of the land ""X"" did not belong to B, if B cannot acquire the ownership of the land ""X"" and transfer the same to C, B may cancel the Contract for Sale by notifying C to the effect that B cannot transfer the ownership of the land ""X"".
","If the subject matter of a sale is another person's right (including a part of a right that belongs to another person), the seller bears an obligation to acquire the right and transfer it to the buyer.","If an agent performs an act that falls within the scope of that agent's authority to represent for the purpose of benefiting the agent's own interests or the interests of a third party, and the other party knew of or could have ascertained that purpose, that act is deemed to be an act performed by a person without authority to represent."
"
A contract to the effect that B would sell C a land ""X"" owned by A (hereinafter referred to as the ""Contract for Sale"") was concluded.
In the case where, at the time of conclusion of the Contract for Sale, C did not know that the ownership of the land ""X"" did not belong to B, if B cannot acquire the ownership of the land ""X"" and transfer the same to C, C may cancel the Contract for Sale only within one year from the time when he/she came to know that the ownership of the land ""X"" did not belong to B.
","(1) In the following cases, the obligee may immediately cancel the contract without making the demand referred to in the preceding Article:
(2) In the following cases, the obligee may immediately cancel a part of the contract without making the demand referred to in the preceding Article:",Payment of a negotiable instrument payable to order must be made at the current domicile of the obligor.
"
A contract to the effect that B would sell C a land ""X"" owned by A (hereinafter referred to as the ""Contract for Sale"") was concluded.
In the case where, at the time of conclusion of the Contract for Sale, C did not know that the ownership of the land ""X"" did not belong to B, if B cannot acquire the ownership of the land ""X"" and transfer the same to C, C may cancel the Contract for Sale only within one year from the time when he/she came to know that the ownership of the land ""X"" did not belong to B.
","(1) A claim is extinguished by prescription in the following cases:
(2) A claim or property right other than ownership is extinguished by prescription if not exercised within 20 years from the time when the right became exercisable.
(3) The provisions of the preceding two paragraphs do not preclude the commencement of acquisitive prescription for the benefit of a third party that possesses the subject matter of a right with a time of commencement or a right subject to a condition precedent, at the time of commencing the possession; provided, however, that the holder of the right may demand acknowledgment from the possessor at any time to renew the prescription period.","If a claim extinguished by prescription was eligible for set-off prior to its extinguishment, the obligee may use that claim for the set-off."
"
If the delivery of the subject matter of work performed is required, the contractor may not claim the remuneration until and unless he/she has delivered the same.
","Remuneration must be paid simultaneously with delivery of the subject matter of work performed; provided, however, that if no delivery of a thing is required, the provisions of Article 624, paragraph (1) apply mutatis mutandis.","(1) An owner of a channel, moat, or other such land containing a stream may not change the course or width of the same if the land on the other side is owned by another person.
(2) If the land on both sides of a stream is owned by the owner of the land containing the stream, that owner may change the course or the width of the same; provided, however, that the owner must return the stream to its natural course at the point where the stream meets a neighboring land.
(3) If there are customs that differ from the provisions of the preceding two paragraphs, those customs prevail."
"
The duration of contractor's warranty may not be extended by contract.
","(1) Unless otherwise provided for in laws and regulations, any person may freely decide whether or not to conclude a contract.
(2) Parties to a contract may freely decide the terms of the contract, subject to the restrictions prescribed by laws and regulations.","(1) Claims for compensation for loss or damage sustained by the bailor due to the loss or damage to part of the bailed thing and for reimbursement of expenses incurred by the bailee must be submitted within one year from the time when the bailor receives the return of the bailed thing.
(2) With regard to the claim for compensation for loss or damage referred to in the preceding paragraph, the prescription period does not expire until one year has elapsed from the time when the bailor receives the return of the bailed thing."
"
In the case where a depositary has undertaken a deposit gratuitously, it shall be sufficient if he/she retains the Thing deposited exercising care identical to that he/she exercises for his/her own property.
",A gratuitous bailee bears a duty to keep the bailed thing while exercising the same level of care that the bailee would exercise for their own property.,"(1) A person that acquires a claim from a revolving mortgagee before the principal is crystallized may not exercise the revolving mortgage with respect to that claim. The same applies to a person that made payment for or on behalf of an obligor before the principal was crystallized.
(2) If an obligation is assumed before the principal is crystallized, the revolving mortgagee may not exercise the revolving mortgage with respect to the obligation of the person that assumes the obligation.
(3) If the assumption of obligation releasing an old obligor is effected before the principal is crystallized, the obligee may not transfer the revolving mortgage to the obligation assumed by the new obligor, notwithstanding the provisions of Article 472-4, paragraph (1).
(4) If any novation due to the substitution of the obligee is effected before the principal is crystallized, the obligee before the novation may not transfer the revolving mortgage to the obligations after the novation, notwithstanding the provisions of Article 518, paragraph (1). The same applies to the obligee in the case of novation due to the substitution of the obligor before the principal is crystallized."
"
The depositor, regardless of making payment or not, must compensate the depositary for damages that occur due to the nature of or defects in the Thing deposited except when the depositor did not, without negligence, know of such nature or defect, or the depositary knew of the same.
","The bailor must compensate the bailee for damage that occur due to the nature of or defects in the bailed things; provided, however, that this does not apply if the bailor did not, without negligence, know of such nature or defect, or the bailee knew of the same.","(1) A mortgagee has the right to have the mortgagee's claim satisfied prior to other obligees out of the immovables that the obligor or a third party provided to secure the obligation without transferring possession.
(2) Superficies and farming rights may be the subject matter of a mortgage. In this case, the provisions of this Chapter apply mutatis mutandis."
"
A depositary may not use, or allow third parties to retain, the Thing deposited without obtaining the consent of the depositor.
","(1) A bailee may not use the bailed thing without obtaining the consent of the bailor.
(2) The bailee may not have a third party keep the bailed thing in custody unless the bailee obtains the consent of the bailor or there is a compelling reason to do so.
(3) A sub-bailee has the same rights and obligations as those of the bailee in relation to the bailor within the scope of authority thereof.",The provisions of the preceding three Articles do not apply to a guarantee contract under which the person that will become a guarantor is any of the following persons:
"
Even in cases where the timing of the return of the deposited goods is specified, the depositary may return the deposited goods prior to the timing of the return if the reasonable period has elapsed after he/she notified the depositor of the return.
","(1) If the parties have not specified the timing of the return of the bailed thing, the bailee may return the same at any time.
(2) If the timing of the return is specified, the bailee may not return the deposited thing prior to the due date unless there is a compelling reason to do so.","If the borrower has become unable to return things in the same kind, quality and quantity as that of the things the borrower received from the lender, the borrower must reimburse the current value of the things; provided, however, that this does not apply in the cases provided for in Article 402, paragraph (2)."
"
Even if the timing of the return of the Thing deposited is specified, the depositor in cases of a deposit for consumption may demand the return of the Thing deposited at any time.
","(1) If a bailee may consume the bailed thing by contract, the bailee must return the thing that is the same kind, quality and quantity as the bailed thing.
(2) The provisions of Articles 591 and 592 apply mutatis mutandis to the case prescribed in the preceding paragraph.
(3) The provisions of Article 591, paragraphs (2) and (3) apply mutatis mutandis to the case of a bailment of money by a contract concerning deposits.","If an agent manifests the intention to thenceforward possess a thing under the agent's own possession on behalf of the principal, the principal thereby acquires the possessory rights."
"
Even with respect to any person who constantly lacks the capacity to discern right and wrong due to mental disability, the family court may order the commencement of curatorship if the person's spouse files a petition seeking the order of the commencement of curatorship.
","The family court may decide to commence a curatorship in respect of a person whose capacity to appreciate their own situation is extremely inadequate due to a mental disorder, at the request of the person in question, the person's spouse, the person's relative within the fourth degree of kinship, the guardian, the guardian's supervisor, the assistant, the assistant's supervisor, or a public prosecutor; provided, however, that this does not apply to a person in respect of whom a cause set forth in Article 7 exists.","When all of the lessee's assets are to be liquidated, the statutory lien of the lessor exists only with respect to the rent and other obligations for the previous, current and next terms, and obligations to compensate for loss or damage that arise in the previous and current terms."
"
Even with respect to any person who constantly lacks the capacity to discern right and wrong due to mental disability, the family court may order the commencement of curatorship if the person's spouse files a petition seeking the order of the commencement of curatorship.
","The family court may decide to commence a guardianship in respect of a person who constantly lacks the capacity to appreciate the person's own situation due to a mental disorder, at the request of the person in question, that person's spouse, that person's relative within the fourth degree of kinship, the person's guardian of a minor, the person's supervisor of a minor's guardian, the person's curator, the person's curator's supervisor, the person's assistant, the person's assistant's supervisor, or a public prosecutor.","(1) If the parties agree that remuneration will be paid for any result that may be obtained through the performance of the mandated business, and the result is required to be delivered, remuneration must be paid simultaneously upon the delivery of the result.
(2) The provisions of Article 634 apply mutatis mutandis if the parties agree that remuneration will be paid for any result that may be obtained through the performance of the mandated business."
"
The creditor of a partnership may not exercise his/her rights against each partner.
","(1) A creditor of a partnership may exercise the rights of the creditor against the partnership property.
(2) A creditor of a partnership may, at the choice of the creditor, exercise the rights of the creditor against each partner in proportion to their shares of loss or in equal proportions; provided, however, that if a creditor of a partnership knew the proportion of each partner's share of loss at the time of occurrence of the claim, the exercise of the creditor's rights is based on those proportions.","(1) A claim is extinguished by prescription in the following cases:
(2) A claim or property right other than ownership is extinguished by prescription if not exercised within 20 years from the time when the right became exercisable.
(3) The provisions of the preceding two paragraphs do not preclude the commencement of acquisitive prescription for the benefit of a third party that possesses the subject matter of a right with a time of commencement or a right subject to a condition precedent, at the time of commencing the possession; provided, however, that the holder of the right may demand acknowledgment from the possessor at any time to renew the prescription period."
"
In cases where a privately appointed agent lawfully appointed its sub-agent, if the sub-agent has received monies and other Things during the course of administering the mandated business, the sub-agent shall assume an obligation to deliver to the principal the received Things.
","(1) A subagent represents the principal with respect to acts within the scope of the authority thereof.
(2) A subagent has the same rights and obligations as an agent in relation to the principal and third parties within the scope of that subagent's authority.",A pledgee of movables cannot duly assert the pledge against third parties unless that pledgee is in continuous possession of the thing pledged.
"
In cases where a privately appointed agent lawfully appointed its sub-agent, if the sub-agent has received monies and other Things during the course of administering the mandated business, the sub-agent shall assume an obligation to deliver to the principal the received Things.
","(1) A mandatary must deliver to the mandator monies and other things received during the course of administering the mandated business. The same applies to fruits the mandatary has reaped.
(2) A mandatary must transfer to the mandator rights that the mandatary has acquired in the mandatary's own name on behalf of the mandator.","(1) An option contract for a purchase and sale made by one party becomes effective when the other party manifests the intention to complete the purchase and sale.
(2) If no period is provided in relation to the manifestation of intention referred to in the preceding paragraph, the party to the option contact may issue a notice of demand to the other party, specifying a reasonable period of time, to the effect that the other party is to give a definite answer as to whether or not that party will complete the sale within that period. In such cases, if the other party fails to give a definite answer within that period, the option contract for a purchase and sale by one party ceases to be effective."
 An unborn child may not be given a gift on the donor's death. ,"(1) The enjoyment of private rights commences at birth.
(2) Unless otherwise prohibited by applicable laws, regulations, or treaties, foreign nationals enjoy private rights.","The tender of the performance must be made actually consistent with the main purport of the obligation; provided, however, that if the obligee refuses to accept that performance in advance or if any act is required on the part of the obligee with respect to the performance of the obligation, it is sufficient for the obligor to request the acceptance thereof by giving a notice that the tender of the performance has been prepared.
Division 2 Deposit of Subject Matter of Performance"
 A juridical person may not be a partner of a civil law union. ,"An not-for-profit association or foundation that is involved in academic activities, art, charity, worship, religion, or any other matter of public interest may be established as a juridical person with the permission of the competent government agency.","Statutory liens for transportation exist against luggage in the possession of the carrier, in connection with transportation charges for passengers or freight charges for luggage and expenses incidental to the same."
"
A juridical person may not be entitled to demand damages other than property damages.
","An not-for-profit association or foundation that is involved in academic activities, art, charity, worship, religion, or any other matter of public interest may be established as a juridical person with the permission of the competent government agency.","If a stream is blocked at low-lying ground due to a natural disaster or other unavoidable grave incident, an owner of a higher land may carry out construction work necessary to remove the impediment to the stream at that owner's own expense."
"
In cases an agent is entrusted to perform any specific juristic act, if the agent performs such act in accordance with the instructions of the principal, the principal may not assert that the agent did not know a particular circumstance without negligence which the principal did not know due to his/her negligence.
","(1) If the validity of a manifestation of intention that an agent has made to the other party is to be influenced by the absence of intention; by mistake, fraud, or duress; or by the knowledge of or negligence in not knowing of a particular circumstance; whether or not any such fact was present is decided as it concerns the agent.
(2) If the validity of a manifestation of intention that the other party has made to the agent is to be influenced by the recipient's knowledge of or negligence in not knowing of a particular circumstance, whether or not any such fact was present is decided as it concerns the agent.
(3) If an agent who has been entrusted with performing a specific juridical act performs that act, the principal may not assert that the agent did not know of any particular circumstance of which the principal knew. The same applies to any circumstance of which the principal did not know due to the principal's own negligence.","If there are multiple guarantors, the provisions of Article 427 apply even if their obligations arise from individual acts."
"
An agent who has no specified authority shall have the authority only to do the acts of preservation.
",An agent who has no specifically defined authority has the authority to perform the following acts only:,"The provisions of this Section apply mutatis mutandis to contracts for value other than contracts for sale; provided, however, that this does not apply when it is not permitted by the nature of the contract for value.
Subsection 2 Effect of Sale"
"
In cases an agent makes a false manifestation of intention on sales contract in collusion with the counterparty, the counterparty may assert the invalidity of the contract regardless of whether the principal knew the false manifestation of intention.
","(1) A false manifestation of intention that a person makes in collusion with another person is void.
(2) The nullity of a manifestation of intention under the provisions of the preceding paragraph may not be duly asserted against a third party in good faith.","(1) The deposit under the provisions of the preceding Article must be made with the official depository having jurisdiction over the place where the relevant obligation is performed.
(2) If there is no specific provision in laws and regulations with respect to the official depository, the court, at the request of the performer, must designate the depository and appoint a custodian of the thing to be deposited.
(3) A person that has effected a deposit pursuant to the provisions of the preceding Article must notify the obligee of the deposit without delay."
"
In cases an agent makes a false manifestation of intention on sales contract in collusion with the counterparty, the counterparty may assert the invalidity of the contract regardless of whether the principal knew the false manifestation of intention.
","(1) If the validity of a manifestation of intention that an agent has made to the other party is to be influenced by the absence of intention; by mistake, fraud, or duress; or by the knowledge of or negligence in not knowing of a particular circumstance; whether or not any such fact was present is decided as it concerns the agent.
(2) If the validity of a manifestation of intention that the other party has made to the agent is to be influenced by the recipient's knowledge of or negligence in not knowing of a particular circumstance, whether or not any such fact was present is decided as it concerns the agent.
(3) If an agent who has been entrusted with performing a specific juridical act performs that act, the principal may not assert that the agent did not know of any particular circumstance of which the principal knew. The same applies to any circumstance of which the principal did not know due to the principal's own negligence.","(1) An obligor may duly assert against the assignee any event that has taken place with regard to the assignor by the time of completion of the perfection.
(2) For the purpose of the application of the provisions of the preceding paragraph in the case referred to in Article 466, paragraph (4), the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when a reasonable period of time referred to in Article 466, paragraph (4) has elapsed""; and to apply the provisions of that paragraph in the case referred to in Article 466-3, the phrase ""at the time of the completion of the perfection"" in that paragraph is deemed to be replaced with ""at the time when the obligor receives a request from the assignee referred to in Article 466-3 to make a deposit with an official depository pursuant to the provisions of that Article""."
"
The authority of an agency shall be terminated upon ruling for commencement of curatorship against the agent.
","(1) The authority to represent ceases to exist upon:
(2) The authority to represent by mandate ceases to exist, other than on the grounds set forth in the respective items of the preceding paragraph, upon the termination of the mandate.","If the land and a building on that land belong to the same owner, a mortgage is created with respect to that land or building, and the enforcement of that mortgage causes them to belong to different owners, it is deemed that a superficies has been created with respect to that building. In this case, the rent is fixed by the court at the request of the parties."
"
A contract may not be rescinded by the principal after it is performed by an agent with a counterparty even if it turns out that the agent was a person with limited capacity.
","An act that a person with qualified legal capacity performs as an agent of another person may not be rescinded on the grounds of qualified legal capacity; provided, however, that this does not apply to an act performed by a person with qualified legal capacity as a legal representative of another person with qualified legal capacity.","If there are customs that differ from the provisions of Article 271 through the preceding Article, those customs prevail."
"
After a principal refuses to ratify an act performed by a person without any authority of an agency, even the principal cannot make it effective by ratification.
","(1) A contract concluded by a person who acts as the agent of another person but has no authority to represent does not bind the principal unless the principal ratifies it.
(2) The ratification or refusal to ratify may not be duly asserted against the counterparty unless it is made to that counterparty; provided, however, that this does not apply if the counterparty has come to know the ratification or refusal to ratify.","If a person, for any reason, loses possession of a registered negotiable instrument payable to holder, and the holder of the instrument proves that holder's rights pursuant to the provisions of the preceding Article, the holder is not obligated to return the instrument; provided, however, that this does not apply if the holder has acquired the instrument in bad faith or due to gross negligent."
"
Even after a principal ratifies a contract concluded by a person without any authority of an agency, the counterparty who did not know that the agent was without any authority at that time may rescind the contract.
","A counterparty may rescind a contract that a person without the authority to represent has concluded until the principal ratifies it; provided, however, that this does not apply if the counterparty knew at the time of the conclusion of the contract that the agent had no authority to represent.","If an indivisible claim becomes a divisible claim, each obligee may request the performance only of the share of the claim to which each obligee is entitled, and if an indivisible obligation becomes a divisible obligation, each obligor is liable only for the share of the obligation for which each obligor is liable.
Subsection 3 Joint and Several Claims"
"
If a proxy act of a person who has parental authority is the act of conflicting interests, the principal can approve it after he/she attained the age of majority.
","Ratification is retroactive to the time of the conclusion of the contract unless a particular intention is manifested; provided, however, that this may not prejudice the rights of a third party.","(1) If a party that would suffer a detriment as a result of the fulfillment of a condition intentionally prevents the fulfillment of that condition, the counterparty may deem that the condition has been fulfilled.
(2) If a party who would enjoy a benefit as a result of the fulfillment of a condition wrongfully has that condition fulfilled, the counterparty may deem that the condition has not been fulfilled."
"
The period of prescription of a right to demand compensation for damages in tort established in an unappealable judgment shall be ten years.
","(1) The period of prescription of a right determined by a final and binding judgment or anything that has the same effect as a final and binding judgment is 10 years even if a period of prescription shorter than 10 years is provided for.
(2) The provisions of the preceding paragraph do not apply to a claim which is not yet due and payable at the time when it is determined.
Articles 170 through 174  Deleted
Part II Real Rights","The bailor must compensate the bailee for damage that occur due to the nature of or defects in the bailed things; provided, however, that this does not apply if the bailor did not, without negligence, know of such nature or defect, or the bailee knew of the same."
"
A concluded a sales contract with B to the effect that A sold land P owned by A (hereinafter referred to as ""First Sales Contract""), and received the payment from B, but A did not undertake the ownership transfer registration procedure from A to B. Then A concluded a sales contract with C to sell land P to C (hereinafter referred to as ""Second Sales Contract""), and ownership transfer registration procedure from A to C was undertaken. After that, A went missing and B brought an action against C for the transfer registration procedure from C to B based on the ownership. In a statement of claim, B must prove that A owned land P, the establishment of First Sales Contract and the existence of C's registration.
",The creation and transfer of a real right becomes effective solely by the manifestations of intention of the parties.,Statutory liens for employer-employee relationships exist with respect to salaries and other claims that arise from the employer-employee relationship between the obligor and the employee.
"
A concluded a sales contract with B to the effect that A sold land P owned by A (hereinafter referred to as ""First Sales Contract""), and received the payment from B, but A did not undertake the ownership transfer registration procedure from A to B. Then A concluded a sales contract with C to sell land P to C (hereinafter referred to as ""Second Sales Contract""), and ownership transfer registration procedure from A to C was undertaken. After that, A went missing and B brought an action against C for the transfer registration procedure from C to B based on the ownership. In a statement of claim, B must prove that A owned land P, the establishment of First Sales Contract and the existence of C's registration.
","An owner has the rights to freely use, profit from and dispose of the thing owned, within the limits of laws and regulations.","If a farming right holder fails to pay the rent for two or more consecutive years, the landowner may demand the extinction of the farming right."
"
A concluded a sales contract with B to the effect that A sold land P owned by A (hereinafter referred to as ""First Sales Contract""), and received the payment from B, but A did not undertake the ownership transfer registration procedure from A to B. Then A concluded a sales contract with C to sell land P to C (hereinafter referred to as ""Second Sales Contract""), and ownership transfer registration procedure from A to C was undertaken. After that, A went missing and B brought an action against C for the transfer registration procedure from C to B based on the ownership. In a statement of claim, B must prove that A owned land P, the establishment of First Sales Contract and the existence of C's registration.
",A sale becomes effective when one of the parties promises to transfer certain property rights to the other party and the other party promises to pay the price for this.,"(1) After the principal is crystallized, the mortgagor of the revolving mortgage may request a reduction in the maximum amount of that revolving mortgage, to the amount of the obligations actually in existence plus the amount of the periodic payments including interest and the amount of compensation for loss or damage due to default in obligations that will arise in the following two years.
(2) As to the reduction in the maximum amount of a revolving mortgage registered pursuant to Article 398-16, it suffices to make the request referred to in the preceding paragraph with respect to one of those immovable properties."
"
A concluded a sales contract with B to the effect that A sold land P owned by A (hereinafter referred to as ""First Sales Contract""), and received the payment from B, but A did not undertake the ownership transfer registration procedure from A to B. Then A concluded a sales contract with C to sell land P to C (hereinafter referred to as ""Second Sales Contract""), and ownership transfer registration procedure from A to C was undertaken. After that, A went missing and B brought an action against C for the transfer registration procedure from C to B based on the ownership. If C claims a defense of requirement for perfection, C must prove that the second sales contract was concluded and that C was without any knowledge of First Sales Contract and was not negligent about Fisrt Sales Contract at the time of conclusion of Second Sales Contract.
","Acquisitions of, losses of and changes in real rights on immovables may not be duly asserted against any third parties, unless the same are registered pursuant to the applicable provisions of the Real Property Registration Act (Act No. 123 of 2004) and other laws regarding registration.","(1) A person that acquires a claim from a revolving mortgagee before the principal is crystallized may not exercise the revolving mortgage with respect to that claim. The same applies to a person that made payment for or on behalf of an obligor before the principal was crystallized.
(2) If an obligation is assumed before the principal is crystallized, the revolving mortgagee may not exercise the revolving mortgage with respect to the obligation of the person that assumes the obligation.
(3) If the assumption of obligation releasing an old obligor is effected before the principal is crystallized, the obligee may not transfer the revolving mortgage to the obligation assumed by the new obligor, notwithstanding the provisions of Article 472-4, paragraph (1).
(4) If any novation due to the substitution of the obligee is effected before the principal is crystallized, the obligee before the novation may not transfer the revolving mortgage to the obligations after the novation, notwithstanding the provisions of Article 518, paragraph (1). The same applies to the obligee in the case of novation due to the substitution of the obligor before the principal is crystallized."
